year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
1989,WP031989,35.0,20.0,75.0,85.5,40.5,40.0,55.0,95.0,996.0,1001.0,970.0,medium,10.5,19.7,22.8
1990,WP031990,35.0,28.0,90.0,43.5,46.5,55.0,62.0,117.0,992.0,998.0,965.0,short,10.7,17.2,24.8
1991,WP031991,35.0,25.0,45.0,19.5,49.5,10.0,20.0,30.0,1002.0,1002.0,994.0,short,11.6,12.8,19.9
1992,WP031992,35.0,19.0,80.0,67.5,97.5,45.0,61.0,106.0,992.0,1002.0,965.0,medium,14.6,18.5,23.0
1994,WP031994,35.0,43.0,90.0,67.5,64.5,55.0,47.0,102.0,1002.0,996.0,965.0,medium,12.8,20.3,33.1
1995,WP031995,35.0,35.0,50.0,19.5,130.5,15.0,15.0,30.0,1000.0,997.0,996.0,medium,13.2,14.2,24.6
1997,WP031997,35.0,21.0,55.0,43.5,64.5,20.0,34.0,54.0,1008.0,1006.0,994.0,medium,11.3,17.4,23.2
2001,WP032001,35.0,48.0,60.0,91.5,16.5,25.0,12.0,37.0,1004.0,998.0,985.0,medium,13.3,24.3,27.1
2004,WP032004,35.0,44.0,130.0,133.5,154.5,95.0,86.0,181.0,1000.0,993.0,940.0,long,7.0,10.8,28.7
2005,WP032005,35.0,37.0,115.0,43.5,70.5,80.0,78.0,158.0,1002.0,993.0,935.0,medium,11.5,14.5,27.2
2006,WP032006,35.0,25.0,45.0,19.5,37.5,10.0,20.0,30.0,1002.0,1002.0,996.0,short,16.7,18.5,22.2
2007,WP032007,35.0,25.0,35.0,1.5,16.5,0.0,10.0,10.0,994.0,995.0,994.0,short,20.2,20.2,21.8
2008,WP032008,35.0,65.0,135.0,67.5,46.5,100.0,70.0,170.0,996.0,968.0,915.0,medium,8.2,16.8,28.4
2009,WP032009,35.0,27.0,75.0,67.5,64.5,40.0,48.0,88.0,1002.0,1000.0,975.0,medium,17.9,21.2,29.8
2010,WP032010,35.0,25.0,80.0,112.5,43.5,45.0,55.0,100.0,1006.0,1000.0,970.0,medium,14.0,17.6,21.2
2011,WP032011,35.0,31.0,50.0,25.5,112.5,15.0,19.0,34.0,1000.0,993.0,992.0,medium,12.6,14.0,35.5
2012,WP032012,35.0,38.0,80.0,91.5,52.5,45.0,42.0,87.0,1004.0,994.0,975.0,medium,12.5,23.6,29.0
2013,WP032013,35.0,33.0,55.0,49.5,34.5,20.0,22.0,42.0,998.0,999.0,990.0,short,18.8,26.0,31.0
2014,WP032014,35.0,55.0,80.0,97.5,16.5,45.0,25.0,70.0,1000.0,988.0,975.0,medium,8.6,18.8,21.6
2015,WP032015,35.0,25.0,50.0,49.5,187.5,15.0,25.0,40.0,996.0,1010.0,990.0,long,7.2,10.9,13.9
2017,WP032017,35.0,25.0,40.0,25.5,61.5,5.0,15.0,20.0,1002.0,1008.0,1002.0,short,13.0,14.5,22.8
2018,WP032018,35.0,43.0,130.0,67.5,40.5,95.0,87.0,182.0,998.0,996.0,915.0,medium,11.4,16.8,19.5
2019,WP032019,35.0,23.0,35.0,1.5,34.5,0.0,12.0,12.0,1008.0,1008.0,1005.0,short,7.4,7.4,6.6
2020,WP032020,35.0,23.0,75.0,43.5,34.5,40.0,52.0,92.0,1002.0,1000.0,975.0,short,22.0,26.8,33.3
2021,WP032021,35.0,25.0,35.0,1.5,49.5,0.0,10.0,10.0,1002.0,1005.0,1002.0,short,7.2,7.2,8.7
2022,WP032022,35.0,23.0,40.0,7.5,40.5,5.0,17.0,22.0,998.0,1002.0,996.0,short,10.8,10.8,11.3
2023,WP032023,35.0,48.0,95.0,85.5,52.5,60.0,47.0,107.0,1000.0,988.0,960.0,medium,14.2,20.0,30.0
1982,WP041982,35.0,34.0,105.0,67.5,64.5,70.0,71.0,141.0,1000.0,994.0,945.0,medium,11.1,19.3,28.7
1983,WP041983,35.0,23.0,135.0,46.5,43.5,100.0,112.0,212.0,1003.0,1000.0,920.0,short,15.0,19.9,26.8
1984,WP041984,35.0,25.0,55.0,31.5,46.5,20.0,30.0,50.0,996.0,1000.0,985.0,short,18.1,20.7,24.7
1986,WP041986,34.0,25.0,45.0,118.5,88.5,11.0,20.0,31.0,996.0,997.0,992.0,long,20.2,21.2,26.5
1987,WP041987,35.0,33.0,75.0,43.5,70.5,40.0,42.0,82.0,1002.0,992.0,980.0,medium,12.5,16.3,31.4
1988,WP041988,35.0,23.0,70.0,61.5,73.5,35.0,47.0,82.0,1000.0,1002.0,970.0,medium,8.6,16.8,31.0
1989,WP041989,35.0,20.0,75.0,49.5,49.5,40.0,55.0,95.0,1000.0,1002.0,975.0,short,13.1,16.0,18.0
1991,WP041991,35.0,38.0,140.0,127.5,115.5,105.0,102.0,207.0,1000.0,985.0,915.0,long,7.9,14.8,29.8
1992,WP041992,35.0,30.0,40.0,19.5,31.5,5.0,10.0,15.0,1002.0,1002.0,1000.0,short,15.9,19.1,26.8
1995,WP041995,35.0,30.0,40.0,7.5,109.5,5.0,10.0,15.0,1002.0,1006.0,1002.0,medium,13.0,13.2,23.9
1996,WP041996,35.0,45.0,125.0,97.5,118.5,90.0,80.0,170.0,1006.0,994.0,930.0,long,8.7,15.7,28.4
