year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
2001,EP022001,35.0,25.0,50.0,19.5,115.5,15.0,25.0,40.0,1005.0,1014.0,997.0,medium,13.2,14.7,23.1
2002,EP022002,35.0,23.0,50.0,10.5,58.5,15.0,27.0,42.0,1003.0,1005.0,997.0,short,16.6,16.8,17.1
2003,EP022003,35.0,23.0,50.0,25.5,88.5,15.0,27.0,42.0,1001.0,1010.0,997.0,medium,16.5,16.7,15.7
2005,EP022005,35.0,28.0,45.0,13.5,28.5,10.0,17.0,27.0,1003.0,1006.0,1000.0,short,14.8,15.7,17.2
2007,EP022007,35.0,25.0,45.0,49.5,31.5,10.0,20.0,30.0,1005.0,1006.0,1000.0,short,14.0,13.2,15.2
2008,EP022008,35.0,23.0,70.0,115.5,52.5,35.0,47.0,82.0,1005.0,1006.0,985.0,medium,12.6,15.7,17.1
2009,EP022009,35.0,25.0,70.0,37.5,37.5,35.0,45.0,80.0,1001.0,1002.0,984.0,short,14.6,17.2,21.5
2011,EP022011,35.0,25.0,80.0,37.5,19.5,45.0,55.0,100.0,1004.0,1003.0,977.0,short,14.1,18.5,19.0
2012,EP022012,35.0,48.0,100.0,73.5,28.5,65.0,52.0,117.0,1004.0,999.0,961.0,medium,9.7,16.8,19.8
2013,EP022013,35.0,28.0,65.0,25.5,16.5,30.0,37.0,67.0,1004.0,1003.0,986.0,short,14.1,15.7,17.9
2014,EP022014,35.0,23.0,40.0,7.5,22.5,5.0,17.0,22.0,999.0,1005.0,998.0,short,14.4,14.9,15.9
2015,EP022015,35.0,28.0,125.0,55.5,130.5,90.0,97.0,187.0,1004.0,1003.0,936.0,medium,13.3,12.3,27.9
2016,EP022016,35.0,30.0,45.0,13.5,46.5,10.0,15.0,25.0,1005.0,1008.0,1002.0,short,15.8,16.8,19.3
2017,EP022017,35.0,30.0,40.0,7.5,19.5,5.0,10.0,15.0,1003.0,1006.0,1001.0,short,14.5,14.8,16.3
2018,EP022018,35.0,33.0,120.0,55.5,70.5,85.0,87.0,172.0,1004.0,1004.0,943.0,medium,14.2,15.7,16.9
2019,EP022019,35.0,48.0,135.0,67.5,70.5,100.0,87.0,187.0,1006.0,998.0,930.0,medium,10.4,13.0,18.7
2020,EP022020,35.0,35.0,35.0,1.5,7.5,0.0,0.0,0.0,1003.0,1003.0,1003.0,short,13.3,13.3,14.1
2021,EP022021,35.0,28.0,50.0,19.5,64.5,15.0,22.0,37.0,1004.0,1006.0,998.0,short,12.5,13.9,15.6
2022,EP022022,35.0,38.0,75.0,37.5,94.5,40.0,37.0,77.0,1004.0,1003.0,978.0,medium,13.6,15.1,18.9
2023,EP022023,35.0,55.0,75.0,31.5,13.5,40.0,20.0,60.0,1004.0,999.0,992.0,short,14.3,17.5,19.2
2024,EP022024,35.0,38.0,50.0,13.5,22.5,15.0,12.0,27.0,1007.0,1006.0,1001.0,short,16.9,17.8,18.8
1982,EP031982_2,35.0,25.0,50.0,49.5,55.5,15.0,25.0,40.0,,,,medium,13.6,17.9,21.4
1983,EP031983,35.0,25.0,35.0,1.5,31.5,0.0,10.0,10.0,,,,short,14.8,14.8,17.6
1984,EP031984,35.0,30.0,90.0,73.5,133.5,55.0,60.0,115.0,,,,long,14.0,14.8,21.5
1985,EP031985,35.0,25.0,35.0,1.5,19.5,0.0,10.0,10.0,,,,short,8.8,8.8,11.0
1986,EP031986,35.0,20.0,75.0,49.5,67.5,40.0,55.0,95.0,,,,medium,10.7,15.6,24.0
1987,EP031987,35.0,20.0,55.0,55.5,43.5,20.0,35.0,55.0,,,,short,13.1,14.8,17.0
1988,EP031988,35.0,20.0,65.0,43.5,103.5,30.0,45.0,75.0,1005.0,1012.0,994.0,medium,13.9,17.3,21.0
1989,EP031989,35.0,20.0,75.0,49.5,37.5,40.0,55.0,95.0,998.0,1008.0,979.0,short,13.0,15.6,25.9
1990,EP031990,35.0,20.0,55.0,67.5,97.5,20.0,35.0,55.0,1005.0,1011.0,994.0,medium,12.3,15.0,17.6
